Date_Time,CO,NOx,SO2,NMVOC,NH3,PM10,PM2.5,BC,OC,CO2,CH4,N2O
2023-04-03 13:00:00,6557.914154390625,385.5658070671875,84.03357333515626,1153.401986953125,675.5640209296874,1548.854096765625,1367.6052131015626,92.27215895625002,510.79230850781255,193936.30552054688,1581.8084392500002,42.8406452296875
2023-04-03 14:00:00,6557.914154390625,385.5658070671875,84.03357333515626,1153.401986953125,675.5640209296874,1548.854096765625,1367.6052131015626,92.27215895625002,510.79230850781255,193936.30552054688,1581.8084392500002,42.8406452296875
2023-04-03 15:00:00,6557.914154390625,385.5658070671875,84.03357333515626,1153.401986953125,675.5640209296874,1548.854096765625,1367.6052131015626,92.27215895625002,510.79230850781255,193936.30552054688,1581.8084392500002,42.8406452296875
2023-04-03 16:00:00,6557.914154390625,385.5658070671875,84.03357333515626,1153.401986953125,675.5640209296874,1548.854096765625,1367.6052131015626,92.27215895625002,510.79230850781255,193936.30552054688,1581.8084392500002,42.8406452296875
2023-04-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
